db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
2	MA0527.1	ZBTB33	3.50E-02	6.60E-05	-9.62E+00	0	238	486	699	1246	0.48971	2.70E-07	2.42E+02	5.20E+01	84	9.40E-01	-6.00E-02		1.00E+00	0
2	MA0591.1	Bach1::Mafk	1.90E-07	3.60E-10	-2.18E+01	0	130	486	392	1073	2.67E-01	1.50E-12	2.42E+02	19	5.80E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0595.1	SREBF1	2.50E-07	4.70E-10	-2.15E+01	0	235	491	941	1669	0.47862	1.90E-12	2.45E+02	5.00E+01	90	1.00E+00	0.00E+00		1.00E+00	0
2	MA0596.1	SREBF2	6.70E-09	1.30E-11	-2.51E+01	0	185	491	874	1897	3.77E-01	5.30E-14	2.45E+02	44	1.09E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0598.2	EHF	2.00E-25	3.90E-28	-6.31E+01	0	231	489	1625	2800	4.72E-01	1.60E-30	2.44E+02	86	1.71E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0599.1	KLF5	5.70E-13	1.10E-15	-3.45E+01	0	233	491	1997	3661	4.75E-01	4.50E-18	2.45E+02	96	2.05E+02	1.00E+00	0.00E+00		9.90E-01	-0.01
2	MA0600.2	RFX2	5.40E+00	1.00E-02	-4.58E+00	0	261	485	189	289	5.38E-01	4.30E-05	2.42E+02	7	1.80E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0603.1	Arntl	5.50E-08	1.10E-10	-2.30E+01	0	215	491	1560	3108	4.38E-01	4.30E-13	2.45E+02	91	1.88E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0604.1	Atf1	5.90E-13	1.10E-15	-3.44E+01	0	281	493	1314	1977	5.70E-01	4.60E-18	2.46E+02	67	1.14E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0605.1	Atf3	2.30E-06	4.50E-09	-1.92E+01	0	183	493	1276	2963	0.3712	1.80E-11	2.46E+02	7.70E+01	170	9.90E-01	-1.00E-02		1.00E+00	0
